PlayerID,Class,Pos,Ht,Starter,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,PF,TP,AST,TO,BLK,STL,MIN,OpponentStrength,GameNumber
DP776ZP,1,2,71,1,  3,8,  0,0,  5,7,3,5,8 ,5,11,0,0,1 ,1,19,0,22
NU935WE,2,1,68,0,  6,16,  0,1,  0,0,1,4,5 ,3,12,2,2,0 ,2,32,1,19
NT032ZN,1,1,64,1,  6,11,  0,0,  4,6,1,2,3 ,5,16,6,5,0 ,1,34,0,8
TJ776ZX,1,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,1,0 ,0,1,0,24
UV038JF,1,1,61,0,  0,1,  0,0,  0,0,0,0,0 ,0,0,0,2,0 ,1,2,1,19
BI425LD,1,1,65,1,  11,21,  2,3,  3,3,1,2,3 ,4,27,1,1,0 ,0,33,0,8
CY873DI,2,1,70,1,  1,6,  0,2,  4,8,1,4,5 ,3,6,2,3,0 ,2,30,0,22
DP776ZP,1,2,71,1,  2,6,  0,0,  4,4,1,5,6 ,5,8,0,2,1 ,0,17,-1,20
RC031UB,1,1,60,0,  0,1,  0,1,  0,0,0,0,0 ,1,0,0,0,0 ,1,5,0,14
BI425LD,1,1,65,0,  4,8,  1,4,  0,0,0,8,8 ,3,9,2,0,0 ,2,24,0,4
BI425LD,1,1,65,1,  0,4,  0,1,  2,2,1,2,3 ,0,2,1,3,0 ,1,16,1,7
XK941IE,1,1,65,0,  5,10,  0,0,  0,1,1,4,5 ,1,10,1,3,0 ,1,28,1,7
NU935WE,2,1,68,0,  3,11,  0,1,  4,4,1,1,2 ,3,10,1,2,0 ,2,25,0,22
XK941IE,1,1,65,0,  0,1,  0,0,  0,0,0,1,1 ,0,0,1,0,0 ,1,9,0,6
HR028UK,4,2,69,1,  3,16,  0,0,  2,4,3,6,9 ,2,8,0,2,0 ,6,35,1,3
UV038JF,1,1,61,0,  2,2,  0,0,  0,0,0,0,0 ,0,4,0,0,0 ,1,8,0,2
EW595TZ,1,1,60,1,  0,4,  0,3,  0,0,0,0,0 ,0,0,1,4,0 ,0,22,1,18
CY873DI,2,1,70,1,  1,5,  1,3,  2,2,1,4,5 ,5,5,0,3,1 ,1,16,0,9
BI425LD,1,1,65,1,  0,7,  0,3,  1,2,1,3,4 ,1,1,4,2,0 ,3,22,0,1
TS856XP,1,1,65,1,  1,4,  0,1,  0,0,0,0,0 ,1,2,0,3,0 ,1,21,0,21
DT272EW,1,1,65,1,  0,3,  0,1,  4,4,2,2,4 ,2,4,0,2,0 ,0,35,-1,20
RC031UB,1,1,60,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,24
CJ462YI,4,2,69,0,  0,5,  0,0,  3,6,7,6,13 ,3,3,0,1,1 ,0,20,0,14
DP776ZP,1,2,71,1,  0,3,  0,0,  0,0,1,5,6 ,5,0,0,3,1 ,0,12,0,14
UV038JF,1,1,61,0,  1,2,  0,1,  0,0,0,0,0 ,1,2,0,0,0 ,0,8,1,3
NT032ZN,1,1,64,0,  2,5,  0,0,  0,0,1,3,4 ,1,4,1,1,0 ,0,22,0,13
CY873DI,2,1,70,1,  3,12,  1,3,  10,12,6,6,12 ,3,17,0,4,0 ,2,34,0,14
RC031UB,1,1,60,0,  1,2,  0,0,  0,0,0,0,0 ,2,2,0,0,0 ,0,3,-1,12
DP776ZP,1,2,71,1,  1,7,  0,0,  0,2,2,3,5 ,4,2,0,0,0 ,0,20,1,17
RC031UB,1,1,60,0,  2,4,  0,1,  0,0,0,1,1 ,1,4,2,3,0 ,0,12,0,9
EW595TZ,1,1,60,0,  0,3,  0,2,  2,2,0,1,1 ,0,2,1,1,0 ,0,9,0,21
UV038JF,1,1,61,0,  0,1,  0,0,  0,0,0,1,1 ,0,0,0,1,0 ,1,3,-1,16
TS856XP,1,1,65,1,  1,10,  0,3,  1,4,0,1,1 ,0,3,0,1,1 ,1,26,0,14
NU935WE,2,1,68,0,  4,8,  0,0,  2,2,0,5,5 ,3,10,0,1,0 ,1,19,1,18
NU935WE,2,1,68,0,  1,18,  0,0,  4,6,4,5,9 ,3,6,0,2,1 ,3,27,0,14
CJ462YI,4,2,69,0,  4,7,  0,0,  0,0,1,5,6 ,1,8,1,0,0 ,0,21,1,3
EW595TZ,1,1,60,1,  1,6,  0,2,  0,0,1,3,4 ,2,2,3,2,0 ,2,19,0,8
TS856XP,1,1,65,1,  1,5,  1,2,  5,8,3,1,4 ,3,8,2,2,0 ,1,22,-1,23
NU935WE,2,1,68,0,  6,11,  0,1,  1,4,1,5,6 ,3,13,1,3,0 ,1,26,1,10
DP776ZP,1,2,71,1,  6,14,  0,0,  3,4,7,2,9 ,5,15,0,1,0 ,1,20,1,19
EW595TZ,1,1,60,1,  1,8,  0,2,  2,4,0,0,0 ,1,4,0,6,0 ,2,25,0,9
RC031UB,1,1,60,1,  0,2,  0,1,  0,0,0,1,1 ,1,0,0,2,0 ,0,21,1,11
RC031UB,1,1,60,0,  0,2,  0,1,  0,0,0,0,0 ,0,0,0,0,0 ,0,3,0,6
EW595TZ,1,1,60,1,  0,3,  0,3,  0,0,0,1,1 ,2,0,2,3,0 ,0,27,1,7
UV038JF,1,1,61,0,  1,3,  0,0,  0,0,0,0,0 ,3,2,2,1,0 ,0,13,1,7
NT032ZN,1,1,64,1,  3,8,  0,0,  2,2,4,2,6 ,0,8,5,2,0 ,1,23,0,5
BI425LD,1,1,65,0,  2,11,  2,9,  0,0,1,1,2 ,1,6,0,2,0 ,1,32,0,21
EW595TZ,1,1,60,0,  2,6,  1,3,  2,2,0,1,1 ,1,7,1,5,0 ,1,35,0,2
TS856XP,1,1,65,1,  0,2,  0,1,  2,2,0,0,0 ,0,2,0,1,0 ,0,8,0,22
RC031UB,1,1,60,0,  0,1,  0,0,  0,0,0,0,0 ,2,0,0,0,0 ,0,3,1,7
UV038JF,1,1,61,0,  0,1,  0,0,  0,0,2,0,2 ,0,0,1,0,0 ,1,5,0,14
HR028UK,4,2,69,1,  4,8,  0,0,  0,1,3,5,8 ,4,8,1,1,0 ,1,28,0,6
TS856XP,1,1,65,0,  0,1,  0,0,  1,2,2,1,3 ,2,1,0,4,0 ,0,6,1,7
EW595TZ,1,1,60,0,  0,1,  0,0,  1,2,1,3,4 ,2,1,0,1,0 ,0,11,0,24
EW595TZ,1,1,60,0,  1,2,  1,1,  0,0,0,0,0 ,0,3,0,3,0 ,0,8,1,17
CJ462YI,4,2,69,1,  0,3,  0,0,  0,0,2,2,4 ,4,0,1,0,0 ,0,20,0,13
BI425LD,1,1,65,1,  4,15,  1,6,  2,4,2,6,8 ,5,11,0,6,0 ,1,30,1,18
NT032ZN,1,1,64,1,  6,10,  2,4,  0,0,2,2,4 ,0,14,3,2,0 ,1,27,1,17
NT032ZN,1,1,64,1,  6,13,  0,0,  7,8,0,7,7 ,3,19,0,4,0 ,5,32,1,7
BI425LD,1,1,65,1,  0,1,  0,0,  0,0,0,2,2 ,0,0,1,0,0 ,0,7,-1,16
NT032ZN,1,1,64,1,  2,5,  0,0,  4,5,0,3,3 ,4,8,1,1,0 ,0,26,0,2
XK941IE,1,1,65,0,  0,1,  0,0,  0,0,0,0,0 ,0,0,0,2,0 ,0,3,0,13
CJ462YI,4,2,69,1,  1,5,  0,0,  0,0,1,2,3 ,1,2,0,1,0 ,2,14,1,17
NT032ZN,1,1,64,0,  4,11,  0,1,  3,4,2,2,4 ,4,11,2,0,0 ,2,22,1,3
WC880WL,1,2,68,0,  0,0,  0,0,  0,0,0,2,2 ,1,0,0,0,0 ,0,3,1,18
NU935WE,2,1,68,1,  4,12,  0,2,  1,2,3,4,7 ,3,9,0,2,3 ,0,24,-1,12
NT032ZN,1,1,64,1,  5,9,  0,0,  10,14,2,3,5 ,2,20,2,1,0 ,2,39,-1,20
OQ856BW,2,1,60,0,  0,0,  0,0,  1,2,0,0,0 ,0,1,0,0,0 ,1,2,0,6
XK941IE,1,1,65,0,  1,6,  0,2,  0,0,0,2,2 ,1,2,0,1,0 ,3,13,1,17
TS856XP,1,1,65,1,  1,9,  1,3,  2,4,1,1,2 ,2,5,0,7,0 ,1,31,-1,16
NU935WE,2,1,68,0,  2,9,  0,1,  0,0,0,2,2 ,4,4,2,2,1 ,5,16,0,1
HR028UK,4,2,69,0,  6,17,  0,0,  5,10,4,3,7 ,4,17,1,2,0 ,2,25,0,2
TS856XP,1,1,65,1,  1,3,  1,3,  0,0,1,2,3 ,0,3,1,3,0 ,2,21,0,13
UV038JF,1,1,61,0,  0,0,  0,0,  0,0,0,0,0 ,1,0,0,4,0 ,1,5,0,6
WC880WL,1,2,68,1,  3,3,  1,1,  1,2,0,1,1 ,3,8,0,0,0 ,0,14,0,22
NU935WE,2,1,68,0,  2,8,  0,0,  6,9,0,1,1 ,5,10,2,3,0 ,0,24,0,21
TJ776ZX,1,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,22
HT266HI,4,1,67,0,  1,1,  0,0,  0,0,0,0,0 ,3,2,0,0,0 ,1,6,0,24
CJ462YI,4,2,69,1,  3,6,  0,0,  1,2,2,6,8 ,5,7,1,1,1 ,0,24,0,9
CJ462YI,4,2,69,1,  6,12,  0,0,  1,2,6,4,10 ,3,13,0,2,0 ,0,40,1,7
BI425LD,1,1,65,1,  4,12,  2,7,  0,2,1,2,3 ,1,10,0,1,0 ,2,28,-1,15
BI425LD,1,1,65,0,  1,5,  0,3,  0,0,1,0,1 ,2,2,0,1,0 ,0,20,1,3
CJ462YI,4,2,69,0,  1,1,  0,0,  1,1,1,0,1 ,0,3,1,0,0 ,0,4,0,1
XK941IE,1,1,65,0,  1,5,  0,0,  0,0,1,3,4 ,3,2,1,7,1 ,2,31,0,9
UV578XN,3,1,67,0,  0,1,  0,1,  0,0,0,2,2 ,4,0,0,2,0 ,0,7,0,22
XK941IE,1,1,65,1,  0,4,  0,2,  0,0,1,4,5 ,1,0,2,4,0 ,0,14,-1,12
UV578XN,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,1,0,24
TS856XP,1,1,65,1,  0,6,  0,1,  2,4,1,0,1 ,2,2,0,4,0 ,2,22,0,1
XK941IE,1,1,65,1,  6,13,  1,1,  3,4,3,4,7 ,0,16,1,2,1 ,2,30,1,11
CY873DI,2,1,70,1,  5,9,  1,1,  2,2,5,4,9 ,2,13,1,2,0 ,0,31,0,24
HT266HI,4,1,67,0,  0,1,  0,0,  0,0,0,0,0 ,1,0,0,0,0 ,0,7,1,19
EW595TZ,1,1,60,0,  2,5,  2,4,  2,2,1,0,1 ,3,8,0,0,0 ,0,25,0,13
BI425LD,1,1,65,0,  0,2,  0,1,  0,0,1,2,3 ,4,0,0,2,0 ,0,11,0,5
VZ052FT,3,1,67,0,  0,0,  0,0,  1,2,0,1,1 ,0,1,0,1,0 ,1,4,0,22
NT032ZN,1,1,64,1,  2,5,  0,0,  0,0,0,2,2 ,1,4,0,7,0 ,2,14,0,6
NU935WE,2,1,68,1,  5,10,  0,1,  0,0,0,2,2 ,5,10,1,1,0 ,0,17,1,11
EW595TZ,1,1,60,0,  3,5,  2,3,  0,0,1,1,2 ,2,8,0,2,0 ,1,18,-1,16
TJ776ZX,1,1,67,0,  0,2,  0,2,  0,0,0,0,0 ,0,0,0,0,0 ,1,3,-1,20
EW595TZ,1,1,60,0,  4,11,  3,9,  0,0,0,2,2 ,2,11,0,3,0 ,1,25,0,6
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,5,0,6
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,1,0 ,0,3,-1,12
DP776ZP,1,2,71,1,  3,9,  0,0,  1,4,3,6,9 ,2,7,0,1,1 ,1,22,0,24
CY873DI,2,1,70,1,  0,2,  0,1,  3,4,0,1,1 ,5,3,2,7,0 ,2,23,1,18
NT032ZN,1,1,64,1,  2,5,  0,0,  0,0,1,3,4 ,0,4,1,1,0 ,1,21,-1,12
VZ052FT,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,2,0 ,0,1,0,24
TJ776ZX,1,1,67,0,  3,9,  1,3,  1,1,3,1,4 ,2,8,0,0,0 ,1,17,0,1
EW595TZ,1,1,60,0,  0,3,  0,2,  0,0,0,1,1 ,2,0,0,0,0 ,1,12,-1,12
EW595TZ,1,1,60,0,  3,8,  2,5,  0,0,0,1,1 ,5,8,0,3,0 ,1,14,0,4
TJ776ZX,1,1,67,1,  0,2,  0,1,  0,0,0,0,0 ,0,0,0,0,0 ,0,10,-1,15
UV038JF,1,1,61,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,24
XK941IE,1,1,65,0,  1,4,  0,2,  0,0,0,0,0 ,1,2,0,0,0 ,0,8,0,14
TJ776ZX,1,1,67,1,  1,2,  1,1,  1,4,1,2,3 ,1,4,0,2,0 ,1,9,0,14
CJ462YI,4,2,69,0,  2,2,  0,0,  0,0,2,0,2 ,4,4,0,1,1 ,0,18,0,6
BI425LD,1,1,65,0,  2,8,  0,2,  5,7,1,3,4 ,3,9,2,1,1 ,0,24,0,24
CY873DI,2,1,70,1,  5,8,  2,2,  2,2,3,7,10 ,2,14,0,5,1 ,4,39,0,21
NU935WE,2,1,68,0,  2,9,  0,0,  5,6,2,5,7 ,2,9,2,0,0 ,2,24,-1,23
CJ462YI,4,2,69,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,22
XK941IE,1,1,65,1,  1,3,  1,2,  2,4,1,2,3 ,1,5,0,2,0 ,0,18,1,3
CJ462YI,4,2,69,0,  1,3,  0,0,  0,0,1,2,3 ,1,2,0,1,1 ,0,13,0,5
UV578XN,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,1,0,0,1,0 ,0,3,1,18
UV578XN,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,1,0 ,0,3,1,19
XK941IE,1,1,65,0,  1,3,  0,2,  0,0,0,1,1 ,1,2,0,0,0 ,0,8,0,21
XK941IE,1,1,65,0,  2,5,  0,1,  0,1,4,0,4 ,1,4,1,2,1 ,1,16,0,5
CY873DI,2,1,70,1,  4,10,  0,0,  4,6,5,16,21 ,4,12,8,6,1 ,2,37,0,8
XK941IE,1,1,65,1,  0,3,  0,1,  4,4,1,1,2 ,2,4,3,1,0 ,0,15,1,19
CJ462YI,4,2,69,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,24
CY873DI,2,1,70,1,  4,8,  0,1,  5,8,3,4,7 ,5,13,2,4,1 ,1,32,0,4
EW595TZ,1,1,60,0,  3,10,  3,8,  2,3,1,0,1 ,2,11,0,1,0 ,0,27,0,5
DP776ZP,1,2,71,1,  8,15,  0,0,  3,4,3,4,7 ,5,19,0,1,0 ,1,23,-1,16
NU935WE,2,1,68,1,  7,14,  0,1,  0,1,2,6,8 ,2,14,1,0,1 ,0,26,0,5
DP776ZP,1,2,71,1,  1,7,  0,0,  3,4,3,0,3 ,4,5,1,0,1 ,1,17,1,3
UV038JF,1,1,61,0,  0,2,  0,0,  0,0,0,2,2 ,0,0,0,3,0 ,0,11,1,10
DP776ZP,1,2,71,1,  7,12,  0,0,  2,6,2,10,12 ,3,16,1,2,1 ,2,34,0,13
