PlayerID,Class,Pos,Ht,Starter,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,PF,TP,AST,TO,BLK,STL,MIN,OpponentStrength,GameNumber
EW595TZ,1,1,60,0,  0,3,  0,2,  0,0,0,0,0 ,1,0,0,0,1 ,0,8,-1,15
NT032ZN,1,1,64,1,  1,5,  0,0,  3,4,2,3,5 ,1,5,5,9,0 ,0,29,1,18
NT032ZN,1,1,64,1,  3,7,  0,0,  4,6,2,3,5 ,4,10,1,3,0 ,0,21,0,9
NT032ZN,1,1,64,1,  0,1,  0,0,  0,0,1,3,4 ,0,0,2,4,0 ,1,20,0,24
XK941IE,1,1,65,0,  1,5,  0,0,  0,0,2,2,4 ,2,2,1,4,0 ,0,15,1,10
TS856XP,1,1,65,1,  2,7,  0,2,  0,0,0,1,1 ,1,4,0,3,0 ,1,17,0,2
NU935WE,2,1,68,0,  5,10,  0,1,  1,2,1,5,6 ,4,11,2,7,0 ,4,26,-1,16
CJ462YI,4,2,69,1,  13,23,  0,1,  7,10,9,7,16 ,1,33,2,2,0 ,0,35,0,8
BI425LD,1,1,65,1,  2,8,  0,2,  0,2,3,3,6 ,2,4,3,6,0 ,2,33,0,9
UV578XN,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,1,0,0,1,0 ,0,5,-1,23
TS856XP,1,1,65,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,1,19
EW595TZ,1,1,60,0,  0,3,  0,2,  0,0,0,0,0 ,2,0,1,0,0 ,1,15,0,14
TJ776ZX,1,1,67,0,  1,3,  0,2,  2,2,0,1,1 ,1,4,0,0,0 ,1,11,-1,16
NT032ZN,1,1,64,1,  4,7,  0,1,  0,0,1,4,5 ,1,8,1,8,0 ,1,21,1,10
TS856XP,1,1,65,1,  4,12,  0,4,  1,2,2,3,5 ,3,9,1,2,0 ,1,36,1,3
TS856XP,1,1,65,1,  5,14,  2,6,  0,0,0,6,6 ,2,12,3,1,0 ,1,32,-1,15
BI425LD,1,1,65,0,  2,9,  1,4,  0,0,0,3,3 ,0,5,0,1,0 ,0,20,0,13
NT032ZN,1,1,64,1,  2,11,  0,2,  6,8,3,3,6 ,3,10,2,5,0 ,2,39,1,11
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,1,0,1,1,0 ,0,4,1,7
UV038JF,1,1,61,0,  0,1,  0,0,  0,0,0,0,0 ,1,0,2,4,0 ,2,10,0,9
NT032ZN,1,1,64,1,  1,7,  0,3,  2,4,0,1,1 ,3,4,3,4,0 ,3,24,-1,16
BI425LD,1,1,65,0,  2,7,  0,3,  0,2,1,2,3 ,0,4,2,2,0 ,0,17,1,17
NT032ZN,1,1,64,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,2,0 ,0,3,0,1
DP776ZP,1,2,71,1,  1,2,  0,0,  0,0,0,0,0 ,5,2,1,1,0 ,0,16,0,2
CY873DI,2,1,70,1,  3,9,  1,2,  2,2,6,7,13 ,3,9,5,2,1 ,2,28,-1,15
CY873DI,2,1,70,0,  1,8,  0,2,  2,2,2,1,3 ,3,4,6,7,0 ,0,29,1,19
EW595TZ,1,1,60,1,  0,1,  0,1,  0,0,0,1,1 ,0,0,0,3,0 ,0,3,1,19
BI425LD,1,1,65,1,  2,6,  0,0,  2,3,1,6,7 ,2,6,0,6,0 ,0,30,1,10
TJ776ZX,1,1,67,1,  1,12,  1,5,  0,0,1,3,4 ,1,3,1,2,0 ,0,16,0,13
CJ462YI,4,2,69,1,  0,1,  0,0,  0,0,0,2,2 ,0,0,1,0,0 ,0,14,1,10
HR028UK,4,2,69,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,22
CY873DI,2,1,70,1,  2,15,  0,3,  2,3,3,8,11 ,0,6,1,3,0 ,1,31,-1,12
BI425LD,1,1,65,0,  3,13,  1,6,  6,6,2,8,10 ,1,13,0,5,0 ,0,31,1,11
UV038JF,1,1,61,0,  0,1,  0,0,  0,0,0,0,0 ,0,0,0,3,0 ,1,9,1,18
EW595TZ,1,1,60,0,  1,2,  0,0,  0,0,0,1,1 ,2,2,1,0,0 ,0,8,0,22
NU935WE,2,1,68,0,  3,6,  0,0,  0,0,1,1,2 ,4,6,0,0,0 ,1,17,-1,15
RC031UB,1,1,60,0,  0,3,  0,1,  1,2,0,1,1 ,0,1,1,1,0 ,0,8,0,22
OQ856BW,2,1,60,0,  0,2,  0,0,  0,0,1,0,1 ,1,0,0,0,0 ,1,10,0,9
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,1,0,13
DP776ZP,1,2,71,1,  4,11,  0,0,  5,8,3,5,8 ,4,13,1,1,0 ,1,26,-1,15
NT032ZN,1,1,64,1,  0,2,  0,1,  0,0,0,0,0 ,1,0,2,1,0 ,0,16,0,22
TS856XP,1,1,65,1,  4,10,  4,8,  1,2,0,1,1 ,3,13,2,0,0 ,1,33,1,17
YM221BM,1,1,65,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,1,1,10
XK941IE,1,1,65,0,  4,13,  0,1,  1,3,2,5,7 ,4,9,4,3,0 ,1,24,0,8
EW595TZ,1,1,60,0,  0,4,  0,2,  0,2,1,3,4 ,1,0,0,3,0 ,0,23,1,11
NT032ZN,1,1,64,1,  7,10,  1,1,  0,0,2,7,9 ,2,15,2,7,0 ,3,30,1,19
HR028UK,4,2,69,1,  5,11,  0,0,  1,4,7,7,14 ,3,11,1,2,2 ,0,30,0,5
BI425LD,1,1,65,0,  3,7,  2,5,  3,4,0,0,0 ,1,11,0,1,0 ,3,29,0,22
WC880WL,1,2,68,1,  0,1,  0,0,  0,0,0,2,2 ,0,0,0,3,0 ,1,8,1,19
HR028UK,4,2,69,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,0,24
XK941IE,1,1,65,0,  1,2,  0,1,  2,2,1,1,2 ,3,4,1,0,1 ,2,11,-1,16
EW595TZ,1,1,60,1,  0,3,  0,3,  1,2,0,1,1 ,2,1,0,3,0 ,0,24,1,10
XK941IE,1,1,65,0,  3,5,  0,1,  2,3,1,1,2 ,1,8,2,1,0 ,0,31,-1,23
BI425LD,1,1,65,0,  4,6,  0,1,  1,1,0,0,0 ,4,9,1,3,0 ,1,17,0,6
TJ776ZX,1,1,67,0,  0,1,  0,1,  0,0,0,1,1 ,0,0,0,1,0 ,0,7,1,17
XK072ML,1,1,64,0,  0,4,  0,4,  0,0,1,0,1 ,0,0,0,1,0 ,1,12,-1,20
HT266HI,4,1,67,0,  1,3,  0,0,  1,1,0,0,0 ,3,3,0,0,0 ,0,8,1,10
DP776ZP,1,2,71,1,  1,8,  0,1,  0,0,1,3,4 ,2,2,0,2,1 ,1,18,1,18
BI425LD,1,1,65,1,  1,5,  1,2,  1,2,1,2,3 ,3,4,0,2,0 ,0,17,0,14
NU935WE,2,1,68,0,  3,11,  0,1,  4,9,3,4,7 ,4,10,2,4,0 ,1,24,0,24
TJ776ZX,1,1,67,0,  1,4,  1,2,  0,0,0,5,5 ,1,3,2,1,0 ,0,23,1,19
RC031UB,1,1,60,0,  0,1,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,2,-1,23
EW595TZ,1,1,60,1,  1,6,  0,3,  1,1,1,2,3 ,3,3,0,4,0 ,0,23,1,3
TS856XP,1,1,65,1,  0,7,  0,2,  0,0,0,3,3 ,1,0,2,3,0 ,2,23,0,6
CJ462YI,4,2,69,0,  0,0,  0,0,  2,2,0,1,1 ,2,2,1,0,0 ,0,13,0,4
RC031UB,1,1,60,0,  2,4,  0,0,  0,0,0,1,1 ,0,4,0,1,0 ,1,16,1,10
CJ462YI,4,2,69,0,  1,4,  0,0,  1,3,3,3,6 ,2,3,0,1,0 ,1,28,0,2
EW595TZ,1,1,60,0,  0,2,  0,1,  1,2,0,0,0 ,0,1,0,0,0 ,0,10,-1,23
NU935WE,2,1,68,1,  5,11,  0,0,  2,5,3,2,5 ,5,12,0,0,0 ,1,29,0,2
CY873DI,2,1,70,1,  2,13,  0,1,  7,8,4,3,7 ,3,11,4,2,0 ,1,38,0,13
VZ052FT,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,0,1,19
TJ776ZX,1,1,67,0,  1,7,  0,4,  0,0,2,1,3 ,3,2,1,0,0 ,1,16,-1,12
WC880WL,1,2,68,1,  3,4,  0,0,  0,0,0,1,1 ,2,6,0,0,0 ,0,10,0,24
NU935WE,2,1,68,0,  3,14,  0,0,  6,8,2,0,2 ,4,12,0,1,0 ,4,27,-1,20
UV038JF,1,1,61,0,  0,2,  0,1,  2,4,0,0,0 ,0,2,0,1,0 ,0,12,-1,12
DP776ZP,1,2,71,1,  0,4,  0,0,  7,8,1,5,6 ,5,7,0,2,1 ,2,24,0,21
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,1,0,0,0,0 ,0,2,0,22
XK941IE,1,1,65,0,  1,7,  0,3,  0,0,0,0,0 ,2,2,0,4,0 ,1,19,0,24
CY873DI,2,1,70,1,  2,5,  1,2,  0,0,1,7,8 ,3,5,1,4,0 ,2,31,-1,16
UV038JF,1,1,61,0,  1,1,  0,0,  0,1,2,1,3 ,0,2,0,1,0 ,1,9,0,1
DP776ZP,1,2,71,0,  2,9,  0,0,  4,8,3,3,6 ,3,8,0,0,0 ,1,22,-1,12
NT032ZN,1,1,64,1,  3,6,  0,1,  2,2,1,3,4 ,2,8,0,4,0 ,0,16,0,4
TJ776ZX,1,1,67,0,  2,3,  0,0,  0,0,0,4,4 ,4,4,2,5,0 ,3,14,1,18
UV038JF,1,1,61,0,  1,2,  0,0,  0,0,2,0,2 ,1,2,3,5,1 ,1,18,0,8
CY873DI,2,1,70,1,  2,10,  0,2,  1,4,1,9,10 ,3,5,1,6,0 ,3,34,1,10
BI425LD,1,1,65,1,  0,4,  0,0,  1,2,2,6,8 ,0,1,0,0,0 ,2,25,0,2
XK941IE,1,1,65,0,  2,8,  2,3,  3,4,1,1,2 ,1,9,0,3,0 ,1,20,1,18
XK941IE,1,1,65,1,  2,6,  1,2,  0,0,1,2,3 ,0,5,1,1,0 ,2,16,0,1
UV038JF,1,1,61,0,  0,1,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,1,3,0,5
NU935WE,2,1,68,1,  2,11,  0,0,  1,2,3,7,10 ,5,5,0,5,0 ,2,19,0,4
TS856XP,1,1,65,1,  0,13,  0,6,  0,0,3,1,4 ,1,0,2,5,0 ,1,20,0,5
CJ462YI,4,2,69,0,  0,1,  0,0,  0,0,1,0,1 ,0,0,0,1,0 ,1,10,-1,15
NT032ZN,1,1,64,1,  1,7,  0,1,  5,6,2,0,2 ,2,7,1,3,0 ,4,34,0,21
VZ052FT,3,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,1,0 ,0,2,1,18
HT266HI,4,1,67,0,  0,1,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,3,0,14
CY873DI,2,1,70,1,  5,13,  1,6,  2,3,1,5,6 ,4,13,3,1,4 ,1,30,0,1
CY873DI,2,1,70,1,  2,6,  1,2,  2,2,2,5,7 ,4,7,2,2,0 ,1,35,0,6
DP776ZP,1,2,71,1,  1,2,  0,0,  0,0,0,2,2 ,1,2,0,0,0 ,0,6,0,1
CY873DI,2,1,70,1,  2,9,  1,3,  3,4,2,2,4 ,1,8,3,0,0 ,4,39,-1,20
JA774KD,1,1,65,0,  0,3,  0,2,  0,0,0,2,2 ,2,0,0,0,0 ,1,8,-1,20
HT266HI,4,1,67,0,  2,5,  0,0,  0,0,1,4,5 ,0,4,1,1,0 ,0,18,0,9
NU935WE,2,1,68,1,  1,6,  0,0,  1,2,0,3,3 ,4,3,1,4,0 ,1,16,0,6
HT266HI,4,1,67,0,  1,1,  0,0,  0,0,1,1,2 ,0,2,1,0,0 ,0,8,1,18
XK941IE,1,1,65,0,  1,1,  0,0,  0,0,0,1,1 ,1,2,1,0,2 ,0,11,-1,15
XK941IE,1,1,65,0,  0,1,  0,1,  0,0,1,1,2 ,0,0,3,4,0 ,1,16,0,2
CY873DI,2,1,70,1,  3,12,  0,2,  7,9,4,10,14 ,4,13,1,4,0 ,3,31,0,5
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,1,1,17
EW595TZ,1,1,60,0,  1,4,  1,2,  0,0,0,1,1 ,2,3,0,1,0 ,0,12,0,1
BI425LD,1,1,65,0,  1,6,  0,4,  3,4,0,0,0 ,3,5,1,2,0 ,3,26,1,19
TJ776ZX,1,1,67,0,  0,1,  0,0,  0,0,0,0,0 ,1,0,0,0,0 ,0,6,0,21
TS856XP,1,1,65,1,  2,6,  0,2,  3,3,0,2,2 ,0,7,4,5,0 ,1,28,0,24
XK941IE,1,1,65,0,  2,6,  1,4,  0,0,1,1,2 ,2,5,3,0,0 ,0,24,0,22
NU935WE,2,1,68,0,  1,12,  0,0,  2,2,2,1,3 ,3,4,0,2,0 ,3,22,1,17
NT032ZN,1,1,64,0,  6,14,  2,2,  2,2,4,1,5 ,2,16,2,1,0 ,2,30,-1,15
CY873DI,2,1,70,1,  3,9,  0,1,  2,2,3,10,13 ,3,8,4,4,2 ,2,39,1,11
BI425LD,1,1,65,1,  2,5,  1,4,  2,2,0,1,1 ,3,7,0,0,0 ,0,20,-1,20
HR028UK,4,2,69,0,  3,6,  0,0,  1,2,1,2,3 ,0,7,0,1,0 ,0,12,0,1
CY873DI,2,1,70,1,  1,14,  0,1,  2,4,2,6,8 ,5,4,1,3,0 ,5,31,1,7
TS856XP,1,1,65,1,  5,16,  2,4,  8,12,1,1,2 ,3,20,0,2,0 ,1,33,0,4
CJ462YI,4,2,69,0,  2,6,  0,0,  2,2,4,0,4 ,4,6,1,1,0 ,0,15,-1,16
XK941IE,1,1,65,0,  1,3,  0,1,  0,0,0,0,0 ,2,2,2,0,1 ,0,13,0,4
UV038JF,1,1,61,0,  1,1,  0,0,  0,0,0,0,0 ,3,2,1,1,0 ,0,10,0,4
NT032ZN,1,1,64,1,  2,4,  0,0,  2,2,0,4,4 ,0,6,4,3,0 ,1,21,-1,23
CY873DI,2,1,70,1,  3,10,  0,3,  3,6,1,1,2 ,4,9,0,0,0 ,1,21,-1,23
HT266HI,4,1,67,1,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,3,0,21
TS856XP,1,1,65,0,  0,1,  0,0,  0,0,0,0,0 ,3,0,0,1,0 ,1,10,-1,12
HR028UK,4,2,69,1,  3,6,  0,0,  0,2,1,6,7 ,5,6,0,1,0 ,1,26,0,4
DP776ZP,1,2,71,1,  4,7,  0,0,  4,7,3,3,6 ,4,12,1,2,1 ,1,22,-1,23
CJ462YI,4,2,69,1,  2,6,  0,0,  0,0,0,1,1 ,3,4,0,0,1 ,2,19,-1,12
UV038JF,1,1,61,0,  1,1,  0,0,  0,0,0,1,1 ,0,2,0,2,0 ,0,5,0,22
NT032ZN,1,1,64,0,  2,8,  1,2,  0,0,1,0,1 ,0,5,0,1,0 ,0,19,0,14
BI425LD,1,1,65,0,  0,3,  0,3,  1,2,0,1,1 ,2,1,0,0,0 ,0,13,-1,12
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,1,0 ,0,0,0,2
BI425LD,1,1,65,1,  3,9,  2,5,  1,4,0,2,2 ,4,9,0,1,0 ,1,35,-1,23
WC880WL,1,2,68,0,  0,2,  0,0,  0,0,2,2,4 ,0,0,0,0,0 ,0,7,-1,23
CY873DI,2,1,70,1,  0,7,  0,2,  7,8,1,2,3 ,5,7,0,3,2 ,1,38,1,17